Black Myth:Wukong,Final Fantasy XVI,RDR2,frametime1
8.317306667,7.09,6.75,16.66666667
7.15443,6.79,6.36,16.66666667
6.639616667,6.89,5.84,16.66666667
6.713835,7.53,5.75,16.66666667
9.275741667,7.21,6.1,16.66666667
10.869465,7.22,5.86,16.66666667
8.35118,6.92,5.85,16.66666667
8.260048333,6.59,6.04,16.66666667
7.877411667,6.56,6,16.66666667
8.051385,6.99,5.98,16.66666667
7.981486667,7.35,6.01,16.66666667
10.14142833,6.84,5.94,16.66666667
10.18979667,6.87,5.96,16.66666667
9.847211667,7.12,6.1,16.66666667
9.596768333,7.04,6.28,16.66666667
9.970916667,6.84,6.36,16.66666667
9.698641667,7,6.49,16.66666667
9.361995,7.13,6.56,16.66666667
9.247745,7.25,6.25,16.66666667
9.303821667,7.38,6.34,16.66666667
9.669611667,7.02,6.29,16.66666667
9.584631667,7.09,6.28,16.66666667
9.456203333,6.6,5.93,16.66666667
9.276868333,6.85,6.04,16.66666667
8.726328333,6.98,5.83,16.66666667
8.560381667,6.99,6.04,16.66666667
8.517896667,6.69,5.97,16.66666667
8.39955,6.87,5.74,16.66666667
9.58961,6.95,5.92,16.66666667
10.82157,6.6,6.34,16.66666667
11.29628667,7.06,6.02,16.66666667
10.68943333,6.64,6.52,16.66666667
10.3008,7.1,5.96,16.66666667
11.55190333,7.23,5.89,16.66666667
10.90431,6.97,7.21,16.66666667
10.35697167,6.66,6.74,16.66666667
10.18055333,6.7,7.26,16.66666667
9.564675,6.74,7.3,16.66666667
9.636928333,6.86,6.53,16.66666667
8.809873333,6.96,7.06,16.66666667
8.374096667,7.14,7.16,16.66666667
8.23929,6.33,6.57,16.66666667
7.880935,7.26,5.96,16.66666667
7.836358333,6.76,5.63,16.66666667
7.836881667,6.81,5.86,16.66666667
7.641265,7.52,5.68,16.66666667
7.925123333,6.69,5.05,16.66666667
7.407231667,7.45,5.25,16.66666667
7.602826667,7.39,6.5,16.66666667
7.784201667,6.9,6.98,16.66666667
8.47986,7.14,6.76,16.66666667
7.717958333,7.5,7.24,16.66666667
7.528818333,6.49,7.01,16.66666667
7.1407,6.74,6.02,16.66666667
7.269801667,7.17,6.24,16.66666667
6.960838333,6.83,5.97,16.66666667
6.541608333,6.98,6.14,16.66666667
7.055931667,7.57,5.07,16.66666667
6.449851667,6.85,5.98,16.66666667
5.803161667,6.9,5.72,16.66666667
6.31657,7.22,6.74,16.66666667
6.972548333,6.83,6.73,16.66666667
6.724081667,6.68,7.24,16.66666667
6.744956667,6.53,6.2,16.66666667
6.927821667,6.96,6.37,16.66666667
9.804668333,6.8,5.37,16.66666667
8.14812,6.58,5.32,16.66666667
8.001461667,7.02,6.23,16.66666667
7.908446667,7.18,5.14,16.66666667
8.183193333,7.31,5.38,16.66666667
7.848435,6.77,5.51,16.66666667
7.891411667,7.19,5.54,16.66666667
7.455793333,7.06,6.95,16.66666667
7.209271667,6.64,7.11,16.66666667
6.991315,6.79,6.81,16.66666667
7.367045,6.67,7.34,16.66666667
7.57862,6.53,7.24,16.66666667
7.157248333,6.66,5.54,16.66666667
7.060553333,6.51,7.12,16.66666667
7.134075,6.83,7.22,16.66666667
7.770093333,6.89,6.7,16.66666667
7.709283333,6.89,6.69,16.66666667
7.68533,7.12,6.64,16.66666667
7.404973333,7.47,6.94,16.66666667
7.128403333,7.63,6.69,16.66666667
7.3371,7.72,6.06,16.66666667
7.696361667,7.28,6.68,16.66666667
7.349518333,6.53,6.52,16.66666667
7.238818333,6.46,5.94,16.66666667
7.433886667,6.62,6.83,16.66666667
7.732841667,6.65,5.85,16.66666667
7.262141667,6.64,4.91,16.66666667
7.603861667,7.09,4.84,16.66666667
7.617461667,7.2,4.93,16.66666667
7.49995,7.02,6.25,16.66666667
7.453163333,6.76,5.21,16.66666667
7.588458333,6.65,5,16.66666667
7.936073333,6.53,4.93,16.66666667
7.938765,6.6,6.42,16.66666667
9.261656667,6.68,6.73,16.66666667
9.016476667,6.59,6.84,16.66666667
9.180798333,6.61,6.53,16.66666667
9.307438333,6.62,6.07,16.66666667
9.50353,7.37,5.39,16.66666667
9.416066667,6.99,5.67,16.66666667
9.024306667,6.54,5.51,16.66666667
9.119893333,6.78,6.59,16.66666667
8.865001667,7.07,5.16,16.66666667
8.258976667,7.62,5.11,16.66666667
6.175711667,6.85,5.21,16.66666667
6.23765,6.81,5.29,16.66666667
6.459163333,6.57,5.6,16.66666667
6.294308333,6.5,5.37,16.66666667
6.163188333,6.03,5.15,16.66666667
6.16883,5.82,5.87,16.66666667
6.225213333,6.13,7.29,16.66666667
6.178186667,5.72,7.07,16.66666667
7.419248333,6.11,5.5,16.66666667
7.546695,6.17,4.94,16.66666667
7.464573333,5.79,4.91,16.66666667
7.849548333,6.38,5.03,16.66666667
8.570513333,5.82,5.56,16.66666667
7.760663333,6.22,5.57,16.66666667
7.500096667,6.39,5.79,16.66666667
7.647148333,6.26,6.11,16.66666667
7.249265,6.24,5.83,16.66666667
7.346568333,6.32,6.04,16.66666667
7.432545,6.23,5.95,16.66666667
7.451736667,6.27,6.42,16.66666667
7.461051667,6.5,6.35,16.66666667
7.491341667,6.67,6.51,16.66666667
7.572905,6.18,6.74,16.66666667
7.4326,6.03,7.09,16.66666667
6.756036667,7.15,6.84,16.66666667
6.706278333,6.45,7.5,16.66666667
7.43809,5.76,5.79,16.66666667
7.718416667,5.79,5.78,16.66666667
7.571736667,6.26,6.33,16.66666667
6.230308333,6.23,5.7,16.66666667
5.76116,5.95,5.86,16.66666667
6.034613333,5.82,5.95,16.66666667
5.73914,6.73,6.34,16.66666667
5.988273333,6.85,6.05,16.66666667
6.001115,7.16,5.37,16.66666667
5.933133333,7.15,5.49,16.66666667
6.548176667,7.22,5.52,16.66666667
6.690631667,6.99,5.44,16.66666667
6.987486667,7.19,5.63,16.66666667
6.891228333,7.02,5.69,16.66666667
6.470253333,7.33,5.51,16.66666667
6.458655,7.26,5.52,16.66666667
6.055435,7.12,5.69,16.66666667
5.758348333,6.77,5.27,16.66666667
5.446288333,6.64,5.52,16.66666667
6.198191667,6.93,5.45,16.66666667
8.947293333,6.48,5.41,16.66666667
9.370641667,6.82,5.64,16.66666667
9.120095,7.02,5.53,16.66666667
9.451583333,6.76,5.66,16.66666667
9.413125,7.31,5.65,16.66666667
9.331301667,7,5.65,16.66666667
9.024031667,7.5,5.65,16.66666667
9.220943333,7.51,5.51,16.66666667
9.15697,7.56,5.69,16.66666667
8.930243333,6.97,6.54,16.66666667
8.874076667,7.15,5.61,16.66666667
8.441078333,6.7,5.16,16.66666667
8.023013333,7.13,5.3,16.66666667
5.5746,7.33,5.13,16.66666667
7.929843333,6.83,5.21,16.66666667
8.89416,6.51,5.22,16.66666667
9.15939,6.55,5.25,16.66666667
8.86266,7.39,5.35,16.66666667
7.428943333,6.58,5.14,16.66666667
7.409258333,6.71,5.3,16.66666667
7.06846,7.11,5.13,16.66666667
7.703415,7.1,5.16,16.66666667
7.265976667,7.32,5.27,16.66666667
7.453745,7.26,5.24,16.66666667
7.465878333,7.44,5.13,16.66666667
6.798626667,7.07,5.19,16.66666667
7.663465,7.45,5.27,16.66666667
7.718208333,6.53,5.31,16.66666667
9.155856667,6.97,5.36,16.66666667
9.146626667,6.6,5.26,16.66666667
8.993818333,6.91,5.42,16.66666667
8.394288333,6.53,5.08,16.66666667
7.774818333,6.91,5.11,16.66666667
8.215606667,6.74,5.69,16.66666667
9.283866667,6.96,6.3,16.66666667
9.265065,6.44,5.85,16.66666667
9.237783333,6.8,5.71,16.66666667
9.18762,6.99,5.98,16.66666667
9.31761,7.33,5.77,16.66666667
10.270485,6.86,5.98,16.66666667
9.15836,7.05,5.67,16.66666667
8.017686667,6.89,5.76,16.66666667
7.630578333,6.85,5.89,16.66666667
7.870336667,6.77,5.69,16.66666667
7.826098333,6.67,5.5,16.66666667
7.766295,7.05,5.31,16.66666667
8.004258333,7.32,5.51,16.66666667
8.144706667,6.48,5.24,16.66666667
8.189578333,6.55,5.26,16.66666667
7.711651667,7.07,5.33,16.66666667
7.551543333,6.71,5.31,16.66666667
7.673558333,6.63,5.32,16.66666667
7.817453333,6.87,5.18,16.66666667
7.81241,7.36,5.28,16.66666667
8.960013333,6.94,5.17,16.66666667
9.333336667,7,5.21,16.66666667
9.28668,6.93,5.2,16.66666667
9.446085,6.9,5.35,16.66666667
9.567331667,6.79,6,16.66666667
9.240955,6.93,5.59,16.66666667
8.888141667,6.73,5.55,16.66666667
8.791936667,7.03,5.9,16.66666667
8.624293333,6.62,5.66,16.66666667
9.352581667,6.89,5.65,16.66666667
9.545703333,6.74,5.77,16.66666667
9.78819,6.76,5.85,16.66666667
9.504223333,6.67,5.75,16.66666667
9.805056667,7.02,6.21,16.66666667
9.551978333,6.89,5.89,16.66666667
9.617736667,7.01,5.82,16.66666667
9.614026667,6.68,5.87,16.66666667
9.028005,7.26,5.62,16.66666667
9.021736667,6.8,5.79,16.66666667
8.913795,7.35,5.73,16.66666667
9.210586667,6.6,5.6,16.66666667
9.146018333,7.09,5.82,16.66666667
8.60531,7.3,5.92,16.66666667
8.407978333,7.32,5.64,16.66666667
8.710546667,7.53,5.74,16.66666667
8.629103333,7.55,5.78,16.66666667
8.963371667,7.2,5.76,16.66666667
9.636376667,7.41,5.76,16.66666667
9.294511667,6.76,6.02,16.66666667
8.662995,6.75,6.47,16.66666667
8.393193333,6.55,6.16,16.66666667
8.689145,7.11,6.25,16.66666667
8.88023,6.95,5.42,16.66666667
9.540003333,6.91,4.21,16.66666667
9.751778333,6.44,6.71,16.66666667
9.175978333,6.74,7.17,16.66666667
8.229266667,7.22,5.86,16.66666667
8.060625,6.82,6.37,16.66666667
7.967846667,6.54,6.38,16.66666667
8.6007,7.07,6.53,16.66666667
7.569823333,7.25,6.19,16.66666667
6.840511667,6.57,6.25,16.66666667
7.141188333,6.79,6.33,16.66666667
7.09547,6.78,6.39,16.66666667
7.697693333,6.78,6.15,16.66666667
7.76616,6.73,6.11,16.66666667
8.290538333,6.98,6.05,16.66666667
8.689095,7.39,6.08,16.66666667
8.20414,6.78,6.22,16.66666667
8.740815,6.84,6.12,16.66666667
8.423581667,6.74,6.35,16.66666667
9.776615,6.97,6.7,16.66666667
9.99371,6.61,6.44,16.66666667
9.962486667,6.77,6.28,16.66666667
9.791168333,6.91,5.93,16.66666667
10.001725,6.72,5.62,16.66666667
10.01749667,7.17,6.07,16.66666667
9.938628333,6.45,5.73,16.66666667
10.35015667,6.69,5.73,16.66666667
9.505656667,7.24,5.75,16.66666667
8.843201667,7.14,6.12,16.66666667
8.604188333,6.76,5.59,16.66666667
8.771801667,6.41,5.84,16.66666667
8.914553333,6.76,5.57,16.66666667
8.88443,6.55,5.54,16.66666667
8.30039,6.72,6.29,16.66666667
8.092898333,6.85,6.71,16.66666667
7.922363333,6.84,6.75,16.66666667
8.044106667,6.8,6.43,16.66666667
7.876513333,6.86,6.35,16.66666667
8.142478333,6.88,6.18,16.66666667
7.664978333,7.04,6.46,16.66666667
7.729791667,6.97,6.28,16.66666667
7.383071667,6.96,6.74,16.66666667
7.315255,7.29,6.57,16.66666667
7.347783333,6.66,6.81,16.66666667
7.408786667,6.86,6.65,16.66666667
7.7225,6.84,6.89,16.66666667
8.236015,7.11,7.08,16.66666667
8.305653333,6.51,6.82,16.66666667
8.404278333,7.03,6.85,16.66666667
8.46041,7.17,7.04,16.66666667
8.741055,7.09,6.87,16.66666667
7.969975,7.57,6.68,16.66666667
7.341236667,6.93,6.64,16.66666667
7.681703333,6.58,6.91,16.66666667
7.990893333,6.64,6.79,16.66666667
8.56603,7.3,6.74,16.66666667
8.111578333,7.03,6.77,16.66666667
7.362975,7.35,6.68,16.66666667
7.328511667,7,6.54,16.66666667
7.729776667,6.94,6.75,16.66666667
8.200996667,6.87,6.72,16.66666667
7.657031667,6.81,6.78,16.66666667
7.853255,7.4,6.75,16.66666667
8.20077,6.82,6.52,16.66666667
7.696928333,6.61,6.68,16.66666667
8.089741667,6.77,6.64,16.66666667
8.267283333,6.62,6.45,16.66666667
8.012971667,6.69,7.04,16.66666667
7.966653333,6.89,6.83,16.66666667
7.389558333,6.7,6.6,16.66666667
8.089276667,6.6,6.92,16.66666667
7.325395,6.68,6.61,16.66666667
7.018083333,7.01,6.67,16.66666667
8.079731667,6.98,6.96,16.66666667
8.774783333,6.78,6.88,16.66666667
7.610163333,7.43,7.12,16.66666667
6.092715,6.84,6.65,16.66666667
5.684515,6.78,6.7,16.66666667
6.672575,6.89,6.57,16.66666667
7.556126667,6.85,6.68,16.66666667
7.905216667,6.74,6.81,16.66666667
8.79034,6.36,6.82,16.66666667
9.168946667,7.14,6.84,16.66666667
8.843863333,7.66,6.9,16.66666667
9.165695,7.49,6.46,16.66666667
8.871853333,7.24,6.54,16.66666667
8.200643333,7.24,6.63,16.66666667
8.548325,6.92,6.48,16.66666667
8.949328333,7.32,6.27,16.66666667
8.697393333,7.44,6.14,16.66666667
8.642336667,7.52,6.25,16.66666667
9.374713333,6.98,5.52,16.66666667
9.405328333,7.49,4.34,16.66666667
9.100106667,6.26,4.39,16.66666667
9.233918333,6.92,4.65,16.66666667
9.741915,6.77,4.73,16.66666667
11.03834,6.82,4.72,16.66666667
11.45004833,6.74,4.75,16.66666667
9.49279,6.9,4.81,16.66666667
8.971,6.92,4.85,16.66666667
9.945393333,7.05,4.93,16.66666667
9.761353333,7.06,5.26,16.66666667
10.07391667,7.28,5.4,16.66666667
10.02436833,6.78,5.15,16.66666667
10.36595167,6.71,5.31,16.66666667
10.10148333,6.71,5.08,16.66666667
10.00190667,6.82,5.37,16.66666667
9.882898333,6.71,4.69,16.66666667
8.014813333,6.62,4.58,16.66666667
7.445011667,6.74,4.58,16.66666667
7.308778333,6.56,4.79,16.66666667
7.725338333,6.93,4.77,16.66666667
9.03009,6.94,4.7,16.66666667
9.525178333,7.35,4.55,16.66666667
9.278686667,7.03,5.76,16.66666667
9.370795,6.65,6.25,16.66666667
8.657901667,6.57,6.49,16.66666667
8.268888333,6.73,6.76,16.66666667
7.382705,6.58,7.14,16.66666667
6.901526667,6.97,6.88,16.66666667
7.055015,7.17,6.77,16.66666667
7.189038333,7.25,6.71,16.66666667
7.233805,7.03,6.59,16.66666667
7.390308333,7.22,6.32,16.66666667
7.475348333,6.8,6.32,16.66666667
7.467641667,6.73,6.23,16.66666667
7.642083333,7.07,6.16,16.66666667
7.472491667,6.76,6.3,16.66666667
7.146078333,6.67,6.1,16.66666667
7.443701667,6.9,6.3,16.66666667
7.65186,7.25,6.3,16.66666667
7.777698333,7.47,6.06,16.66666667
7.727773333,6.85,6.23,16.66666667
7.636766667,6.68,6.54,16.66666667
7.43554,7.14,6.43,16.66666667
7.815711667,6.74,6.26,16.66666667
7.413533333,6.77,6.11,16.66666667
7.21855,6.87,5.88,16.66666667
7.421361667,7.5,6.11,16.66666667
7.52791,6.68,6.19,16.66666667
7.710425,6.85,5.9,16.66666667
7.288135,7.06,5.58,16.66666667
8.216831667,6.71,5.89,16.66666667
9.064775,7.18,6.18,16.66666667
8.911455,7.12,5.82,16.66666667
8.354125,6.65,5.65,16.66666667
7.631266667,7.18,5.47,16.66666667
7.337726667,7.15,5.35,16.66666667
7.271276667,6.54,5.36,16.66666667
7.715425,6.8,5.61,16.66666667
7.820205,7.12,5.19,16.66666667
7.49471,7.21,5.14,16.66666667
7.261926667,7.11,5.19,16.66666667
7.937,7.33,5.19,16.66666667
7.716435,6.54,5.4,16.66666667
7.646195,6.68,4.93,16.66666667
7.527358333,6.94,5.16,16.66666667
7.815411667,6.68,5.39,16.66666667
7.588766667,6.96,5.19,16.66666667
7.760343333,6.58,5.05,16.66666667
7.86497,7.19,5.14,16.66666667
7.565896667,7.22,5.23,16.66666667
7.88594,6.65,5.36,16.66666667
7.714488333,6.76,5.09,16.66666667
7.530093333,7.05,5.26,16.66666667
7.295205,6.84,5.27,16.66666667
7.652866667,7.39,5.45,16.66666667
7.93019,6.49,5.52,16.66666667
8.21057,7.13,5.56,16.66666667
8.138921667,6.75,5.41,16.66666667
8.002868333,7,5.18,16.66666667
7.370545,7.04,4.98,16.66666667
9.112558333,6.81,4.9,16.66666667
8.326535,6.85,5.03,16.66666667
7.364656667,7.04,4.9,16.66666667
7.184236667,6.58,4.94,16.66666667
8.09584,7.29,5.05,16.66666667
8.753961667,6.74,4.88,16.66666667
8.20709,6.8,4.89,16.66666667
8.514946667,6.68,4.97,16.66666667
8.237201667,6.71,5.36,16.66666667
7.88571,7.15,5.49,16.66666667
8.24849,7.07,5.19,16.66666667
8.679266667,7.65,5.16,16.66666667
8.974511667,6.8,5.39,16.66666667
9.02143,6.63,5.19,16.66666667
8.97544,6.56,5.24,16.66666667
7.89311,6.51,5.09,16.66666667
8.962465,6.99,5.24,16.66666667
10.434525,6.93,5.33,16.66666667
9.46795,7.15,5.12,16.66666667
7.579771667,7.55,5.09,16.66666667
6.581806667,6.79,5.01,16.66666667
6.938425,6.77,5.36,16.66666667
7.592191667,7.39,5.42,16.66666667
6.232681667,7.05,5.44,16.66666667
7.506131667,6.73,5.34,16.66666667
7.145715,7.57,5.71,16.66666667
6.406165,6.98,5.86,16.66666667
6.17941,6.61,5.75,16.66666667
6.004321667,7.23,5.44,16.66666667
6.62055,7.12,5.54,16.66666667
6.403651667,6.94,5.41,16.66666667
6.749298333,7.09,5.58,16.66666667
7.165903333,7.14,5.42,16.66666667
6.600505,6.82,5.65,16.66666667
6.631966667,7.15,5.52,16.66666667
6.372796667,7.19,5.26,16.66666667
7.676668333,7.29,5.61,16.66666667
7.688301667,6.94,5.65,16.66666667
7.896853333,7.1,5.86,16.66666667
7.129686667,7.16,5.59,16.66666667
7.525551667,6.95,5.67,16.66666667
8.586863333,7.25,5.7,16.66666667
9.039958333,7.02,5.78,16.66666667
7.602528333,6.69,6.04,16.66666667
5.070851667,6.93,6,16.66666667
4.832958333,6.76,5.26,16.66666667
4.537321667,6.98,5.21,16.66666667
6.843485,6.73,5.05,16.66666667
6.97881,6.8,6.63,16.66666667
7.720338333,6.76,5.61,16.66666667
8.679695,6.92,4.17,16.66666667
7.914353333,7.02,4.16,16.66666667
8.181218333,6.85,4.1,16.66666667
9.128335,6.6,4.33,16.66666667
8.645746667,7.02,4.71,16.66666667
9.208525,6.88,5.36,16.66666667
9.45661,6.83,5.44,16.66666667
9.718938333,6.39,5.31,16.66666667
9.820855,6.55,5.86,16.66666667
7.904451667,6.58,5.36,16.66666667
7.414385,6.73,5.3,16.66666667
7.528135,6.79,5.48,16.66666667
7.575435,7,5.32,16.66666667
7.464363333,6.27,5.17,16.66666667
7.21339,6.82,5.23,16.66666667
5.588086667,7.03,5.03,16.66666667
5.537616667,6.71,5.1,16.66666667
5.300526667,6.33,5.39,16.66666667
6.766196667,6.89,4.69,16.66666667
6.626293333,6.66,5.04,16.66666667
6.462446667,6.65,4.94,16.66666667
5.27451,6.8,5.16,16.66666667
5.742096667,6.76,4.88,16.66666667
7.253745,6.82,5.1,16.66666667
6.530068333,6.75,5.23,16.66666667
6.456633333,7,5.05,16.66666667
6.276966667,7.45,4.94,16.66666667
6.255471667,7.08,4.81,16.66666667
5.485486667,7.13,5.12,16.66666667
5.867048333,6.74,5.15,16.66666667
6.25459,7.53,4.9,16.66666667
6.11025,6.51,4.78,16.66666667
6.324578333,7.03,4.45,16.66666667
7.138841667,7.48,4.4,16.66666667
7.260663333,6.68,4.47,16.66666667
7.23585,6.91,4.41,16.66666667
7.83807,7.14,3.95,16.66666667
7.338433333,7.01,4.28,16.66666667
6.484756667,6.57,4.22,16.66666667
6.486001667,6.72,4.21,16.66666667
7.15058,6.58,4.2,16.66666667
6.453428333,6.47,4.36,16.66666667
6.378571667,6.74,4.99,16.66666667
6.501493333,7.19,4.53,16.66666667
6.75105,7.36,4.57,16.66666667
6.480761667,7.52,4.52,16.66666667
6.537473333,7.22,4.72,16.66666667
7.460381667,7.59,4.88,16.66666667
7.476705,7.52,4.56,16.66666667
6.750903333,7,4.85,16.66666667
6.598325,6.62,4.58,16.66666667
5.881905,7.19,4.5,16.66666667
6.016408333,6.42,4.69,16.66666667
6.533645,6.77,4.48,16.66666667
7.305601667,7.31,4.62,16.66666667
6.7825,6.68,4.64,16.66666667
6.7655,7,4.72,16.66666667
6.777001667,7.38,4.63,16.66666667
6.499848333,7.47,4.57,16.66666667
6.336225,6.64,4.44,16.66666667
7.293818333,7.19,4.62,16.66666667
6.831458333,7.77,4.4,16.66666667
5.937396667,6.84,4.42,16.66666667
4.900438333,6.95,5.73,16.66666667
5.03646,8,5.52,16.66666667
5.734755,8.04,5.49,16.66666667
6.516033333,8.17,5.55,16.66666667
5.819945,7.93,5.6,16.66666667
5.971041667,8.14,5.46,16.66666667
6.921401667,8,5.23,16.66666667
5.355405,8.05,5.35,16.66666667
4.697951667,7.72,5.52,16.66666667
5.614925,7.04,5.54,16.66666667
6.791131667,7.43,6.15,16.66666667
6.956371667,9.12,6.17,16.66666667
7.107868333,8.74,5.98,16.66666667
6.832428333,8.72,5.91,16.66666667
7.0238,9.13,5.96,16.66666667
5.97252,8.86,6.01,16.66666667
5.77851,8.35,5.98,16.66666667
5.849335,7.21,5.83,16.66666667
5.876875,7.16,5.5,16.66666667
7.058401667,6.35,5.41,16.66666667
7.030901667,6.93,5.44,16.66666667
6.617061667,7.14,5.54,16.66666667
6.049863333,6.67,5.47,16.66666667
5.508935,6.85,5.71,16.66666667
5.86631,7,5.71,16.66666667
8.625421667,6.92,5.6,16.66666667
9.796378333,6.81,5.48,16.66666667
8.094295,6.65,5.78,16.66666667
10.817075,6.75,5.97,16.66666667
7.994946667,7.05,6.37,16.66666667
6.142951667,7.34,6.06,16.66666667
7.165201667,6.67,6.3,16.66666667
7.770715,7.04,6.09,16.66666667
8.236081667,7.48,6.32,16.66666667
6.865075,6.73,6.13,16.66666667
6.979493333,6.58,6.04,16.66666667
6.757688333,6.75,6.09,16.66666667
6.714356667,6.98,6.12,16.66666667
6.616708333,6.95,5.94,16.66666667
7.247111667,6.73,5.78,16.66666667
6.68858,6.62,5.81,16.66666667
6.5759,6.94,5.8,16.66666667
6.596896667,6.59,5.79,16.66666667
6.614511667,6.82,6.01,16.66666667
7.130963333,7.24,5.99,16.66666667
6.882025,7.47,5.88,16.66666667
7.097271667,6.46,5.97,16.66666667
7.218345,6.69,6.05,16.66666667
7.21346,6.76,6.25,16.66666667
7.17854,6.54,6.02,16.66666667
7.487945,6.46,6.12,16.66666667
7.726398333,7.11,5.96,16.66666667
7.914236667,7.43,5.86,16.66666667
8.319813333,7.38,6.18,16.66666667
8.054346667,7.38,5.98,16.66666667
7.831865,7.5,5.83,16.66666667
8.063066667,7.48,6,16.66666667
8.656395,7.07,6.09,16.66666667
8.484845,7.05,6.06,16.66666667
8.171435,6.93,5.95,16.66666667
7.670223333,7.08,6.15,16.66666667
7.772443333,6.75,5.98,16.66666667
7.788593333,8.18,6.17,16.66666667
8.220378333,7.75,6.39,16.66666667
8.465263333,8.06,6.54,16.66666667
8.764951667,7.14,6.21,16.66666667
8.37961,7.82,6.04,16.66666667
8.254886667,8.52,5.96,16.66666667
8.217456667,7.07,6.34,16.66666667
8.376303333,5.75,6.41,16.66666667
9.291331667,6.11,6.25,16.66666667
8.541378333,5.61,6.43,16.66666667
8.577645,5.84,6.1,16.66666667
9.16074,6.31,6.22,16.66666667
9.623392,5.98,6.29,16.66666667
7.885939149,6.933810316,5.779700499,
8.714060851,9.666189684,10.8202995,